iter	RMSE
0	1641.638121
1	1586.667943
2	1537.911025
3	1496.838535
4	1461.052902
5	1426.252456
6	1396.102328
7	1370.876967
8	1346.961222
9	1321.605628
10	1299.179551
11	1279.568843
12	1261.950544
13	1247.095192
14	1231.63581
15	1217.385844
16	1205.552173
17	1194.428411
18	1184.228751
19	1174.867593
20	1166.510566
21	1158.812948
22	1151.783143
23	1146.644777
24	1140.826253
25	1135.027456
26	1130.195186
27	1125.748932
28	1121.646223
29	1117.83164
30	1114.23759
31	1111.795568
32	1108.772627
33	1105.839077
34	1104.319155
35	1101.934581
36	1099.737035
37	1097.864522
38	1097.063461
39	1095.871308
40	1094.335098
41	1092.830313
42	1091.946027
43	1091.084483
44	1089.854633
45	1088.836697
46	1088.36909
47	1087.418821
48	1086.343645
49	1085.362259
50	1084.656134
51	1083.717906
52	1082.926768
53	1082.200936
54	1081.734975
55	1081.411673
56	1080.986765
57	1080.608249
58	1080.161212
59	1079.881466
60	1079.309769
61	1078.721227
62	1078.339613
63	1077.973941
64	1077.724182
65	1077.583776
66	1077.043992
67	1076.76261
68	1076.311127
69	1076.100932
70	1075.962909
71	1075.861278
72	1075.421739
73	1075.036933
74	1074.588813
75	1074.542085
76	1074.31183
77	1073.894106
78	1073.662181
79	1073.468745
80	1073.149922
81	1072.878172
82	1072.684365
83	1072.55987
84	1072.407724
85	1072.156004
86	1072.046995
87	1071.894361
88	1071.560761
89	1071.3698
90	1071.265306
91	1071.122823
92	1070.94205
93	1070.724182
94	1070.606819
95	1070.350739
96	1070.151839
97	1069.922938
98	1069.634426
99	1069.501057
100	1069.335022
101	1069.090891
102	1068.936542
103	1068.825797
104	1068.576384
105	1068.238117
106	1068.131851
107	1067.963419
108	1067.80573
