iter	Passed	Remaining
0	0	88
1	1	89
2	2	85
3	3	82
4	3	81
5	4	77
6	5	75
7	5	73
8	6	71
9	7	69
10	7	67
11	8	66
12	9	66
13	9	65
14	10	64
15	10	63
16	11	61
17	12	60
18	12	60
19	13	60
20	14	59
21	14	58
22	15	57
23	16	56
24	16	56
25	17	55
26	17	54
27	18	53
28	19	52
29	19	51
30	20	51
31	20	50
32	21	49
33	22	49
34	22	48
35	23	47
36	24	46
37	24	46
38	25	45
39	25	44
40	26	44
41	27	43
42	27	42
43	28	41
44	28	41
45	29	40
46	30	39
47	30	39
48	31	38
49	32	37
50	32	37
51	33	36
52	34	36
53	34	35
54	35	34
55	36	34
56	36	33
57	37	33
58	38	32
59	38	31
60	39	31
61	40	30
62	40	29
63	41	29
64	42	28
65	42	27
66	43	27
67	43	26
68	44	25
69	45	25
70	46	24
71	46	24
72	47	23
73	48	22
74	48	22
75	49	21
76	49	20
77	50	20
78	51	19
79	51	18
80	52	18
81	53	17
82	53	16
83	54	16
84	54	15
85	55	14
86	56	14
87	56	13
88	57	12
89	58	12
90	58	11
91	59	10
92	60	10
93	60	9
94	61	9
95	61	8
96	62	7
97	63	7
98	63	6
99	64	5
100	65	5
101	65	4
102	66	3
103	67	3
104	67	2
105	68	1
106	69	1
107	69	0
108	70	0
